0_DEVICE,1_DATE,2_TIME,340400_WEAVE_STATUS_AVG,340500_WEAVE_STATUS_LAST,340600_WEAVE_BEATING_COUNT,340700_WEAVE_STOP_COUNTER_AVG,340800_WEAVE_STOP_COUNTER_LAST,340900_WEAVE_STOP_SELVEDGE_AVG,341000_WEAVE_STOP_SELVEDGE_LAST,341100_WEAVE_STOP_FEELER_AVG,341200_WEAVE_STOP_FEELER_LAST,341300_WEAVE_STOP_CATCHING_AVG,341400_WEAVE_STOP_CATCHING_LAST
1010001,2016/4/14,13:44:53,1.0,1.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010001,2016/4/14,13:45:00,1.0,1.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010001,2016/4/14,13:46:00,1.0,1.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010001,2016/4/14,13:47:00,1.0,1.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010001,2016/4/14,13:48:00,1.0,1.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010001,2016/4/14,13:49:01,1.0,1.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010001,2016/4/14,13:50:01,1.0,1.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010001,2016/4/14,13:51:01,1.0,1.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010001,2016/4/14,13:52:01,1.0,1.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010001,2016/4/14,13:53:01,1.0,1.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010001,2016/4/14,13:54:01,0.57,0.0,336.0,0.0,0.0,0.43,1.0,0.0,0.0,0.0,0.0
1010001,2016/4/14,13:55:01,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1010001,2016/4/14,13:56:01,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1010001,2016/4/14,13:57:01,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1010001,2016/4/14,13:58:01,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1010001,2016/4/14,13:59:01,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1010001,2016/4/14,14:00:01,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1010001,2016/4/14,14:01:01,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1010001,2016/4/14,14:02:01,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1010001,2016/4/14,14:03:01,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1010001,2016/4/14,14:04:01,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1010001,2016/4/14,14:05:01,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
1010001,2016/4/14,14:06:01,0.93,1.0,259.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
1010001,2016/4/14,14:07:01,1.0,1.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010001,2016/4/14,14:08:01,1.0,1.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010001,2016/4/14,14:09:01,1.0,1.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010001,2016/4/14,14:10:01,1.0,1.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010001,2016/4/14,14:11:01,1.0,1.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010001,2016/4/14,14:12:01,1.0,1.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010001,2016/4/14,14:13:01,1.0,1.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010001,2016/4/14,14:14:01,1.0,1.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010001,2016/4/14,14:15:01,1.0,1.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010001,2016/4/14,14:16:01,1.0,1.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010001,2016/4/14,14:17:01,1.0,1.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010001,2016/4/14,14:18:01,1.0,1.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010001,2016/4/14,14:19:01,1.0,1.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010001,2016/4/14,14:20:01,1.0,1.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010001,2016/4/14,14:21:01,1.0,1.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010001,2016/4/14,14:22:01,1.0,1.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010001,2016/4/14,14:23:01,1.0,1.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010001,2016/4/14,14:24:02,1.0,1.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010001,2016/4/14,14:25:02,1.0,1.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010001,2016/4/14,14:26:02,1.0,1.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010001,2016/4/14,14:27:02,1.0,1.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010001,2016/4/14,14:28:02,1.0,1.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010001,2016/4/14,14:29:02,1.0,1.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010001,2016/4/14,14:30:02,1.0,1.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010001,2016/4/14,14:31:02,1.0,1.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010001,2016/4/14,14:32:02,1.0,1.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010001,2016/4/14,14:33:02,1.0,1.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010001,2016/4/14,14:34:02,1.0,1.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010001,2016/4/14,14:35:02,1.0,1.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010001,2016/4/14,14:36:02,1.0,1.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010001,2016/4/14,14:37:02,1.0,1.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010001,2016/4/14,14:38:02,1.0,1.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
